Year,Total_Number_HighSchool_Completeres,Total_Number_HighSchool_Completeres_SE,Total_Number_Males_HighSchool_Completeres,Total_Number_Males_HighSchool_Completeres_SE,Total_Number_Females_HighSchool_Completeres,Total_Number_Females_HighSchool_Completeres_SE,Total_Percent_Recent_HighSchool_Completers_Enrolled_in_College,Total_Percent_Recent_HighSchool_Completers_Enrolled_in_College_SE,Two_Year_College,Two_Year_College_SE,Four_Year_College_or_University,Four_Year_College_or_University_SE,Total_Males,Total_Males_SE,Total_Males_Two_Year,Total_Males_Two_Year_SE,Total_Males_Four_Year,Total_Males_Four_Year_SE,Total_Females,Total_Females_SE,Total_Females_Two_Year,Total_Females_Two_Year_SE,Total_Females_Four_Year,Total_Females_Four_Year_SE
1960,1679,-44.5,756,-32.3,923,-30.1,45.1,-2.16,0,0,0,0,54,-3.23,0,0,0,0,37.9,-2.85,0,0,0,0
1961,1763,-46.7,790,-33.7,973,-31.8,48,-2.12,0,0,0,0,56.3,-3.14,0,0,0,0,41.3,-2.81,0,0,0,0
1962,1838,-44.3,872,-32,966,-30.4,49,-2.08,0,0,0,0,55,-3,0,0,0,0,43.5,-2.84,0,0,0,0
1963,1741,-44.9,794,-32.6,947,-30.5,45,-2.12,0,0,0,0,52.3,-3.16,0,0,0,0,39,-2.82,0,0,0,0
1964,2145,-43.6,997,-32.3,1148,-28.9,48.3,-1.92,0,0,0,0,57.2,-2.79,0,0,0,0,40.7,-2.58,0,0,0,0
1965,2659,-48.5,1254,-35.7,1405,-32.5,50.9,-1.73,0,0,0,0,57.3,-2.49,0,0,0,0,45.3,-2.37,0,0,0,0
1966,2612,-45.7,1207,-34.4,1405,-29.5,50.1,-1.74,0,0,0,0,58.7,-2.53,0,0,0,0,42.7,-2.35,0,0,0,0
1967,2525,-38.5,1142,-28.9,1383,-24.7,51.9,-1.44,0,0,0,0,57.6,-2.12,0,0,0,0,47.2,-1.95,0,0,0,0
1968,2606,-38,1184,-28.7,1422,-24.2,55.4,-1.41,0,0,0,0,63.2,-2.04,0,0,0,0,48.9,-1.93,0,0,0,0
1969,2842,-36.6,1352,-27.3,1490,-24.2,53.3,-1.36,0,0,0,0,60.1,-1.93,0,0,0,0,47.2,-1.88,0,0,0,0
1970,2758,-38.1,1343,-26.6,1415,-27.3,51.7,-1.38,0,0,0,0,55.2,-1.97,0,0,0,0,48.5,-1.93,0,0,0,0
1971,2875,-38.7,1371,-27.1,1504,-27.6,53.5,-1.35,0,0,0,0,57.6,-1.94,0,0,0,0,49.8,-1.87,0,0,0,0
1972,2964,-38.5,1423,-27.5,1542,-26.9,49.2,-1.33,0,0,0,0,52.7,-1.92,0,0,0,0,46,-1.84,0,0,0,0
1973,3058,-37.7,1460,-28,1599,-25,46.6,-1.31,14.9,-0.94,31.6,-1.22,50,-1.9,14.6,-1.34,35.4,-1.82,43.4,-1.8,15.2,-1.3,28.2,-1.63
1974,3101,-39.3,1491,-28.2,1611,-27.3,47.6,-1.3,15.2,-0.94,32.4,-1.22,49.4,-1.88,16.6,-1.4,32.8,-1.77,45.9,-1.8,13.9,-1.25,32,-1.69
1975,3185,-39.3,1513,-27.8,1672,-27.7,50.7,-1.29,18.2,-0.99,32.6,-1.21,52.6,-1.86,19,-1.47,33.6,-1.76,49,-1.78,17.4,-1.35,31.6,-1.65
1976,2986,-40.5,1451,-29.4,1535,-27.8,48.8,-1.33,15.6,-0.96,33.3,-1.25,47.2,-1.9,14.5,-1.34,32.7,-1.79,50.3,-1.85,16.6,-1.38,33.8,-1.75
1977,3141,-41,1483,-29.8,1659,-27.9,50.6,-1.3,17.5,-0.98,33.1,-1.22,52.1,-1.88,17.2,-1.42,35,-1.8,49.3,-1.78,17.8,-1.36,31.5,-1.66
1978,3163,-40,1485,-29.4,1677,-26.8,50.1,-1.29,17,-0.97,33.1,-1.22,51.1,-1.88,15.6,-1.37,35.5,-1.8,49.3,-1.77,18.3,-1.37,31,-1.64
1979,3160,-40.3,1475,-29.4,1685,-27.4,49.3,-1.29,17.5,-0.98,31.8,-1.2,50.4,-1.89,16.9,-1.42,33.5,-1.79,48.4,-1.77,18.1,-1.36,30.3,-1.63
1980,3088,-39.6,1498,-28.5,1589,-27.5,49.3,-1.31,19.4,-1.03,29.9,-1.2,46.7,-1.87,17.1,-1.41,29.7,-1.71,51.8,-1.82,21.6,-1.5,30.2,-1.67
1981,3056,-42.4,1491,-30.6,1565,-29.3,53.9,-1.31,20.5,-1.06,33.5,-1.24,54.8,-1.87,20.9,-1.53,33.9,-1.78,53.1,-1.83,20.1,-1.47,33,-1.73
1982,3100,-41,1509,-29.4,1592,-28.6,50.6,-1.38,19.1,-1.09,31.5,-1.28,49.1,-1.98,17.5,-1.5,31.6,-1.84,52,-1.93,20.6,-1.56,31.4,-1.79
1983,2963,-42.2,1389,-30.8,1573,-28.6,52.7,-1.41,19.2,-1.11,33.5,-1.33,51.9,-2.06,20.2,-1.66,31.7,-1.92,53.4,-1.93,18.4,-1.5,35.1,-1.85
1984,3012,-37,1429,-29.1,1584,-22.2,55.2,-1.39,19.4,-1.11,35.8,-1.34,56,-2.02,17.7,-1.55,38.4,-1.98,54.5,-1.92,21,-1.57,33.5,-1.82
1985,2668,-40.7,1287,-29.1,1381,-28.3,57.7,-1.47,19.6,-1.18,38.1,-1.45,58.6,-2.11,19.9,-1.71,38.8,-2.09,56.8,-2.05,19.3,-1.63,37.5,-2
1986,2786,-39.2,1332,-28.9,1454,-26.4,53.8,-1.45,19.2,-1.15,34.5,-1.39,55.8,-2.09,21.3,-1.73,34.5,-2,51.9,-2.02,17.3,-1.53,34.6,-1.92
1987,2647,-41.5,1278,-30.2,1369,-28.4,56.8,-1.48,18.9,-1.17,37.9,-1.45,58.3,-2.12,17.3,-1.63,41,-2.12,55.3,-2.07,20.3,-1.67,35,-1.98
1988,2673,-47.7,1334,-34.6,1339,-32.8,58.9,-1.6,21.9,-1.34,37.1,-1.57,57.1,-2.27,21.3,-1.88,35.8,-2.2,60.7,-2.24,22.4,-1.91,38.3,-2.23
1989,2450,-44.8,1204,-31.7,1246,-31.7,59.6,-1.58,20.7,-1.3,38.9,-1.57,57.6,-2.27,18.3,-1.77,39.3,-2.24,61.6,-2.19,23.1,-1.9,38.5,-2.2
